Date,Open,High,Low,Close
2021-12-28,6.955,6.955,6.955,6.955
2021-12-27,6.984,6.984,6.984,6.984
2021-12-24,6.984,6.984,6.984,6.984
2021-12-23,6.968,6.968,6.968,6.968
2021-12-22,6.955,6.955,6.955,6.955
2021-12-21,6.95,6.95,6.95,6.95
2021-12-20,6.92,6.92,6.911,6.914
2021-12-17,6.94,6.94,6.94,6.94
2021-12-16,6.91,6.91,6.91,6.91
2021-12-15,6.94,6.94,6.91,6.924
2021-12-14,6.905,6.905,6.901,6.901
2021-12-13,6.92,6.92,6.92,6.92
2021-12-10,6.912,6.912,6.912,6.912
2021-12-09,6.899,6.899,6.899,6.899
2021-12-08,6.894,6.894,6.894,6.894
2021-12-07,6.96,6.96,6.92,6.92
2021-12-06,6.917,6.917,6.917,6.917
2021-12-03,6.917,6.917,6.917,6.917
2021-12-02,6.917,6.917,6.917,6.917
2021-12-01,6.94,6.94,6.94,6.94
2021-11-30,6.925,6.925,6.925,6.925
2021-11-29,6.931,6.931,6.931,6.931
2021-11-26,6.956,6.96,6.93,6.93
2021-11-25,6.97,6.976,6.962,6.962
2021-11-24,6.961,6.961,6.961,6.961
2021-11-23,6.966,6.966,6.966,6.966
2021-11-22,6.955,6.955,6.955,6.955
2021-11-18,6.952,6.952,6.943,6.943
2021-11-17,6.972,6.972,6.96,6.96
2021-11-16,7.064,7.064,7.064,7.064
2021-11-15,7.052,7.052,7.052,7.052
2021-11-12,7.084,7.084,7.084,7.084
2021-11-11,7.012,7.091,7.004,7.091
2021-11-10,6.988,7.063,6.988,7.063
2021-11-09,7.036,7.063,6.988,7.063
2021-11-08,7.012,7.059,7.012,7.059
2021-11-03,7.119,7.119,7.119,7.119
2021-11-02,7.096,7.096,7.05,7.05
2021-11-01,7.138,7.138,7.138,7.138
2021-10-29,6.985,6.985,6.985,6.985
2021-10-28,6.968,6.968,6.968,6.968
2021-10-27,7.024,7.024,7.019,7.019
2021-10-26,7.0,7.0,7.0,7.0
2021-10-25,7.0,7.0,7.0,7.0
2021-10-22,7.011,7.011,7.011,7.011
2021-10-21,7.097,7.097,6.986,6.986
2021-10-20,7.017,7.017,7.017,7.017
2021-10-18,7.026,7.026,7.026,7.026
2021-10-14,6.972,6.972,6.972,6.972
2021-10-13,6.967,6.967,6.967,6.967
2021-10-12,6.987,6.987,6.987,6.987
2021-10-11,6.999,6.999,6.999,6.999
2021-10-08,6.981,6.981,6.981,6.981
2021-10-07,6.958,6.958,6.938,6.938
2021-10-06,6.93,6.93,6.93,6.93
2021-10-05,6.93,6.93,6.93,6.93
2021-10-04,6.915,6.915,6.915,6.915
2021-10-01,6.907,6.907,6.907,6.907
2021-09-30,6.878,6.878,6.878,6.878
2021-09-29,6.871,6.871,6.871,6.871
2021-09-28,6.9,6.9,6.9,6.9
2021-09-27,6.87,6.87,6.87,6.87
2021-09-24,6.854,6.854,6.854,6.854
2021-09-23,6.87,6.87,6.87,6.87
2021-09-22,6.88,6.88,6.861,6.868
2021-09-21,6.886,6.886,6.886,6.886
2021-09-20,6.806,6.806,6.806,6.806
2021-09-17,6.885,6.885,6.885,6.885
2021-09-16,6.9,6.9,6.9,6.9
2021-09-15,6.939,6.939,6.91,6.91
2021-09-14,6.947,6.968,6.947,6.968
2021-09-13,6.96,6.983,6.96,6.983
2021-09-09,6.967,6.97,6.967,6.97
2021-09-08,6.999,6.999,6.992,6.992
2021-09-07,6.989,6.989,6.989,6.989
2021-09-06,6.959,6.959,6.921,6.921
2021-09-03,6.991,6.991,6.991,6.991
2021-09-02,7.031,7.031,7.007,7.007
2021-09-01,7.009,7.009,7.009,7.009
2021-08-31,7.034,7.034,7.034,7.034
2021-08-30,7.021,7.021,7.021,7.021
2021-08-27,7.055,7.055,7.055,7.055
2021-08-26,7.075,7.075,7.075,7.075
2021-08-25,7.065,7.065,7.065,7.065
2021-08-24,7.103,7.103,7.077,7.077
2021-08-23,7.135,7.135,7.083,7.083
2021-08-20,7.102,7.102,7.102,7.102
2021-08-18,7.114,7.114,7.114,7.114
2021-08-17,7.118,7.118,7.118,7.118
