Ticker,Length,Start Date,End Date,Highest,Lowest,Last Price
SHW,10786,1980-03-17,2022-12-22,350.7956457262056,0.1290120958147809,241.3000030517578
SLB,10333,1981-12-31,2022-12-22,93.23049599639742,2.9019592167327763,51.38999938964844
SMFG,4257,2006-01-27,2022-12-22,27.100000381469727,4.489999771118164,7.909999847412109
SNPS,7766,1992-02-26,2022-12-22,391.1700134277344,5.5625,321.7200012207031
SNY,5158,2002-07-01,2022-12-22,56.08018317034647,11.015305224565411,48.18999862670898
SO,10333,1981-12-31,2022-12-22,79.72607509425244,0.2913949928540896,70.76000213623047
SONY,12572,1973-02-21,2022-12-22,150.69279207415178,1.2040743827819824,76.7699966430664
SPGI,12572,1973-02-21,2022-12-22,479.86393611206006,0.1411828197930679,332.1099853515625
SRE,6164,1998-06-29,2022-12-22,173.9727250715461,7.376323699951172,157.0399932861328
SYK,10786,1980-03-17,2022-12-22,277.79200894718764,0.0681015849113464,241.7700042724609
T,9854,1983-11-21,2022-12-22,23.31237516319802,0.2836241271072766,18.270000457763672
TFC,10785,1980-03-18,2022-12-22,66.26769893243241,0.5072675943374634,42.47999954223633
TGT,12572,1973-02-21,2022-12-22,262.50957092969986,0.0641636595366979,141.35000610351562
TJX,8946,1987-06-26,2022-12-22,81.16999816894531,0.1755546814330941,78.41999816894531
TM,10786,1980-03-17,2022-12-22,213.7400054931641,2.259451150894165,137.0
TMO,10786,1980-03-17,2022-12-22,670.8575289230249,0.8187209367752075,539.1400146484375
TMUS,3950,2007-04-19,2022-12-22,154.3800048828125,9.14716234694182,139.52999877929688
TSLA,3145,2010-06-29,2022-12-22,414.4966735839844,0.9986670017242432,125.3499984741211
BHP,10786,1980-03-17,2022-12-22,68.54316801531526,0.2735744118690491,61.40999984741211
BKNG,5974,1999-03-31,2022-12-22,2715.659912109375,6.300000190734863,1932.989990234375
BLK,5846,1999-10-01,2022-12-22,941.8653645353882,8.041555823349372,703.3300170898438
BMY,12752,1972-06-01,2022-12-22,81.44000244140625,0.1724353369597133,73.83000183105469
BN,9827,1983-12-30,2022-12-22,49.93095508798022,0.1383224725723266,31.059999465942383
BP,15351,1962-01-02,2022-12-22,36.90586490336499,0.0465699805285603,34.40999984741211
BSX,7708,1992-05-19,2022-12-22,47.95000076293945,2.34375,46.150001525878906
BTI,10767,1980-04-14,2022-12-22,50.07704852467496,0.1047650948166847,40.290000915527344
BUD,3395,2009-07-01,2022-12-22,118.34257076854516,27.32734446232241,60.119998931884766
BX,3905,2007-06-22,2022-12-22,143.1485556357577,1.666200970850796,74.33999633789062
AMD,10786,1980-03-17,2022-12-22,164.4600067138672,1.6100000143051147,63.86000061035156
BDX,12572,1973-02-21,2022-12-22,274.40940673512733,0.6578780571397753,253.58999633789065
C,11595,1977-01-03,2022-12-22,426.49830771615245,4.908469200134277,43.9900016784668
CVS,12572,1973-02-21,2022-12-22,109.37621147527554,0.1249493407211506,93.4000015258789
EL,6822,1995-11-17,2022-12-22,370.5131114368887,6.06563400400096,242.22000122070312
HCA,2969,2011-03-10,2022-12-22,276.76229669990886,12.999814922500446,241.1499938964844
INFY,5988,1999-03-11,2022-12-22,25.81749870068873,0.3960944616490029,17.93000030517578
ISRG,5667,2000-06-16,2022-12-22,369.6900024414063,0.6666669845581055,263.6099853515625
MA,4175,2006-05-25,2022-12-22,398.1885056521733,3.717881338845604,341.5199890136719
MRNA,1019,2018-12-07,2022-12-22,497.489990234375,11.539999961853027,208.33999633789065
NVO,10503,1981-04-30,2022-12-22,135.19000244140625,0.103814603184171,133.6199951171875
PGR,10786,1980-03-17,2022-12-22,134.5,0.0239013638347387,128.60000610351562
SCHW,8886,1987-09-22,2022-12-22,95.176558481615,0.0885369541920564,80.80000305175781
TSM,6344,1997-10-09,2022-12-22,141.93616478746443,1.4787037193602055,75.27999877929688
HD,10403,1981-09-22,2022-12-22,410.2877373100129,0.0180702172219753,316.1199951171875
HDB,5392,2001-07-20,2022-12-22,83.44749988894878,1.0377305847008975,68.05999755859375
HON,15351,1962-01-02,2022-12-22,230.14364670442004,0.4859300553798675,212.3099975585937
HSBC,5900,1999-07-16,2022-12-22,47.3633918762207,11.733569787340906,30.780000686645508
HUM,10333,1981-12-31,2022-12-22,571.2999877929688,1.7001062992302125,512.4299926757812
IBM,15351,1962-01-02,2022-12-22,153.2100067138672,0.8567384163271864,140.8800048828125
IBN,5723,2000-03-28,2022-12-22,23.75,0.3468133856051944,21.700000762939453
ICE,4305,2005-11-16,2022-12-22,137.47621090266696,5.56638939569584,102.45999908447266
NVS,6576,1996-11-07,2022-12-22,94.26000213623048,11.789367383257908,90.9000015258789
ORCL,9273,1986-03-12,2022-12-22,104.52636357814625,0.0333814226894854,80.48999786376953
ORLY,7473,1993-04-23,2022-12-22,870.9199829101562,2.28125,823.780029296875
OXY,10333,1981-12-31,2022-12-22,77.24946025646932,1.305861473083496,61.79999923706055
PBR,5629,2000-08-10,2022-12-22,30.99860038488527,0.7325786548842187,10.5
PDD,1112,2018-07-26,2022-12-22,212.6000061035156,16.530000686645508,85.48999786376953
PEP,12752,1972-06-01,2022-12-22,186.83999633789065,0.1477761052852316,181.08999633789065
PFE,12752,1972-06-01,2022-12-22,59.76892660757877,0.0965211316943168,51.63999938964844
PG,15351,1962-01-02,2022-12-22,162.68185812760015,0.1663181635272702,152.19000244140625
AMGN,9963,1983-06-17,2022-12-22,294.64061361334547,0.0566109046339988,265.260009765625
AMOV,5504,2001-02-08,2022-12-22,24.972772614365223,1.2677101953292456,18.440000534057617
AMT,6248,1998-02-27,2022-12-22,295.2908646688564,0.489076398946874,210.6000061035156
AMX,5502,2001-02-12,2022-12-22,24.98136148046797,1.344639778137207,18.450000762939453
AMZN,6446,1997-05-15,2022-12-22,188.6540069580078,0.0656249970197677,83.79000091552734
AON,10733,1980-06-02,2022-12-22,340.06502230003275,1.0050220009548525,300.1499938964844
APD,10786,1980-03-17,2022-12-22,328.5599975585937,1.119147556262263,312.6000061035156
ASML,6995,1995-03-15,2022-12-22,882.2680220791467,1.1460298697153728,555.9500122070312
ATVI,7345,1993-10-25,2022-12-22,103.41163120640628,0.212407902841999,75.69999694824219
AVGO,3370,2009-08-06,2022-12-22,656.6414728161554,10.55789940509204,553.0900268554688
AXP,12752,1972-06-01,2022-12-22,197.489383051768,0.3912238776683807,145.30999755859375
AZN,7460,1993-05-12,2022-12-22,71.19712220861419,1.603177547454834,68.08000183105469
BA,15351,1962-01-02,2022-12-22,435.56375989393695,0.1178000653671401,188.25
BABA,2081,2014-09-19,2022-12-22,319.32000732421875,57.20000076293945,87.97000122070312
BAC,12572,1973-02-21,2022-12-22,48.96978066846904,0.2920488119125366,32.38999938964844
CAT,15351,1962-01-02,2022-12-22,241.91000366210932,0.3791723447302732,237.5399932861328
CB,7493,1993-03-25,2022-12-22,221.1501736812457,3.945250272750854,217.38999938964844
CCI,6129,1998-08-18,2022-12-22,202.25101557846327,0.7295309464984024,135.60000610351562
CHTR,3266,2010-01-05,2022-12-22,825.6199951171875,29.100000381469727,323.8800048828125
CI,10271,1982-03-31,2022-12-22,340.1099853515625,1.3337248056291005,333.2799987792969
CL,12523,1973-05-02,2022-12-22,83.58669186400311,0.2078397362790209,79.27999877929688
CMCSA,10786,1980-03-17,2022-12-22,59.940089663153344,0.0580712184309959,34.81999969482422
CME,5047,2002-12-06,2022-12-22,251.79554156546504,4.380154156533102,173.1699981689453
COP,10333,1981-12-31,2022-12-22,137.96276211671997,0.6731508172932729,112.9000015258789
COST,9191,1986-07-09,2022-12-22,609.1225936790806,4.089465037528715,458.7099914550781
CRM,4660,2004-06-23,2022-12-22,311.75,2.25,129.19000244140625
CSCO,8277,1990-02-16,2022-12-22,62.33343607091154,0.0486978759900801,47.31999969482422
CSX,10625,1980-11-03,2022-12-22,38.268887098450826,0.1226457150842132,30.96999931335449
ELV,5325,2001-10-30,2022-12-22,548.1808593859557,16.868062815731918,510.05999755859375
EMR,12752,1972-06-01,2022-12-22,103.0251499521393,0.4160977314354411,95.08000183105467
ENB,9775,1984-03-15,2022-12-22,46.215872810038384,0.2745671570301056,38.83000183105469
EOG,8371,1989-10-04,2022-12-22,149.1043956511944,1.4544312920130738,126.3000030517578
EPD,6144,1998-07-28,2022-12-22,27.605247083185898,0.6980258226394653,23.6200008392334
EQIX,5628,2000-08-11,2022-12-22,866.0569076241877,1.582164321061968,655.0800170898438
EQNR,5415,2001-06-18,2022-12-22,41.68133809752588,2.3804725941365183,36.709999084472656
ETN,12752,1972-06-01,2022-12-22,171.93284771090848,0.1586006879806518,156.11000061035156
FCX,6915,1995-07-10,2022-12-22,51.26547165471876,2.0438409906573,37.66999816894531
FISV,9136,1986-09-25,2022-12-22,127.33999633789062,0.2469139993190765,99.54000091552734
GD,15351,1962-01-02,2022-12-22,256.8599853515625,0.0934883877635002,246.58999633789065
GE,15351,1962-01-02,2022-12-22,257.0613061183085,0.7415687250983688,81.7699966430664
GEN,8442,1989-06-23,2022-12-22,30.296107920114025,0.2632191414418428,21.309999465942383
GILD,7790,1992-01-22,2022-12-22,95.5956935645438,0.1598430030461555,85.27999877929688
GIS,10786,1980-03-17,2022-12-22,88.33999633789062,0.3172912825707051,85.16999816894531
GOOG,4620,2004-08-19,2022-12-22,152.10000610351562,2.3900420665740967,88.26000213623047
GOOGL,4620,2004-08-19,2022-12-22,151.54649353027344,2.4014010429382324,87.76000213623047
GS,5951,1999-05-04,2022-12-22,413.0260057350484,38.11357161814741,345.5799865722656
GSK,10777,1980-03-28,2022-12-22,45.624447837544665,0.1206358522176742,35.310001373291016
INTC,10786,1980-03-17,2022-12-22,64.60018743399564,0.1249804571270942,25.96999931335449
INTU,7502,1993-03-12,2022-12-22,712.5152698386474,1.8005772306426109,383.9500122070313
ITW,12558,1973-03-13,2022-12-22,245.0442686535497,0.2506647486781158,220.19000244140625
JD,2164,2014-05-22,2022-12-22,105.62505259520913,18.737253496033013,57.66999816894531
JNJ,15351,1962-01-02,2022-12-22,183.07827514858496,0.042721560245259,177.02999877929688
JPM,10786,1980-03-17,2022-12-22,167.6678837140201,1.09813426939665,130.66000366210938
KDP,3685,2008-05-07,2022-12-22,41.08407945453237,1.3790279352282546,36.290000915527344
KHC,1883,2015-07-06,2022-12-22,75.28877892291747,17.744365278602096,40.36000061035156
KLAC,10643,1980-10-08,2022-12-22,451.2388236172525,0.3273391425609588,373.8500061035156
KO,15351,1962-01-02,2022-12-22,65.76861768726096,0.0346439996123725,63.34000015258789
LIN,7688,1992-06-17,2022-12-22,347.6000061035156,4.04393059928138,327.6600036621094
LLY,12752,1972-06-01,2022-12-22,375.25,0.5089815152448045,365.30999755859375
LMT,11595,1977-01-03,2022-12-22,498.9500122070313,0.3194104129797321,479.2999877929688
LOW,10786,1980-03-17,2022-12-22,258.50365703330834,0.2011118147986385,199.1499938964844
LRCX,9740,1984-05-04,2022-12-22,721.5670431674238,0.5847218036651611,409.1099853515625
MS,7515,1993-02-23,2022-12-22,106.73865492082584,3.787670303736964,86.37000274658203
MSFT,9272,1986-03-13,2022-12-22,346.42394195267025,0.0553795739680412,238.19000244140625
MU,9721,1984-06-01,2022-12-22,97.91692889836436,0.328372015626411,49.43000030517578
MUFG,5468,2001-04-02,2022-12-22,16.592351578118393,2.902637119130493,6.519999980926514
NEE,12572,1973-02-21,2022-12-22,91.77241608773068,0.1432203553771745,83.33999633789062
NFLX,5184,2002-05-23,2022-12-22,700.989990234375,0.3464289903640747,297.75
NKE,10606,1980-12-02,2022-12-22,176.878301695539,0.0750682655880894,116.70999908447266
NOC,10333,1981-12-31,2022-12-22,554.427686367003,1.9715878285130664,531.3699951171875
NOW,2639,2012-06-29,2022-12-22,707.5999755859375,22.6200008392334,379.9400024414063
NSC,10228,1982-06-02,2022-12-22,293.391698284896,1.417991329628268,245.4499969482422
NVDA,6021,1999-01-22,2022-12-22,346.1039878526455,0.3059171180801626,153.38999938964844
PLD,6313,1997-11-21,2022-12-22,171.0523242195454,5.50543474477963,113.2699966430664
PM,3721,2008-03-17,2022-12-22,106.69984463028314,16.53700703856269,100.86000061035156
PNC,11879,1975-11-17,2022-12-22,220.7381684072971,0.6120997667312622,154.2899932861328
PSA,10615,1980-11-18,2022-12-22,397.5554774873022,1.4871123959036434,279.989990234375
PXD,6387,1997-08-08,2022-12-22,271.99897947368345,4.0268771619681845,220.1499938964844
PYPL,1883,2015-07-06,2022-12-22,310.1600036621094,30.0,68.56999969482422
QCOM,7816,1991-12-13,2022-12-22,189.4880989469006,0.253340209904384,110.68000030517578
REGN,7995,1991-04-02,2022-12-22,779.0,3.0,733.6199951171875
RELX,7105,1994-10-06,2022-12-22,31.98125189848176,2.6671910285949707,27.86000061035156
RIO,8186,1990-06-28,2022-12-22,80.54498660420649,1.5944267511367796,70.29000091552734
RTX,15288,1962-04-02,2022-12-22,104.16934750868252,0.0772793322773686,98.51000213623048
SAN,8923,1987-07-30,2022-12-22,8.756615025924289,0.4781412780284882,2.9600000381469727
SAP,6866,1995-09-18,2022-12-22,161.8131182167115,7.305273532867432,103.9800033569336
SBUX,7681,1992-06-26,2022-12-22,122.38277540607449,0.2572567582870781,97.76000213623048
TTE,7850,1991-10-25,2022-12-22,63.150001525878906,2.7786172696739246,62.15999984741211
TXN,12752,1972-06-01,2022-12-22,195.4941706027832,0.556250888694612,164.6999969482422
UBER,914,2019-05-10,2022-12-22,64.05000305175781,13.710000038146973,24.63999938964844
UBS,5689,2000-05-16,2022-12-22,49.92151098509583,5.304066496631185,18.38999938964844
UL,10780,1980-03-25,2022-12-22,58.945264163761856,0.3028181493282318,50.86000061035156
UNH,9625,1984-10-17,2022-12-22,556.3848552804903,0.0669416681626539,527.0900268554688
UNP,10838,1980-01-02,2022-12-22,274.0617783808468,0.9412163509763604,208.66000366210932
UPS,5818,1999-11-10,2022-12-22,226.23293785388765,25.20462441122728,175.61000061035156
USB,12522,1973-05-03,2022-12-22,61.713650041296425,0.1168562993407249,42.84999847412109
V,3719,2008-03-19,2022-12-22,249.9915494380159,9.46221934199648,205.0599975585937
VALE,5228,2002-03-21,2022-12-22,21.8712239773094,0.7401065469845667,16.540000915527344
VMW,3868,2007-08-15,2022-12-22,169.63162356618176,11.7544388528114,121.48999786376952
VRTX,7916,1991-07-24,2022-12-22,324.75,3.25,293.9200134277344
VZ,9854,1983-11-21,2022-12-22,56.18817507773067,1.1923233109456195,38.310001373291016
WFC,12752,1972-06-01,2022-12-22,59.18105886883205,0.0867480023284592,40.68000030517578
WM,8696,1988-06-22,2022-12-22,174.64211659298843,0.8022288680076599,157.72999572753906
WMT,12692,1972-08-25,2022-12-22,158.89411586842436,0.0080680059405394,143.47999572753906
XOM,15351,1962-01-02,2022-12-22,114.63999938964844,0.0909803000031054,105.87999725341795
ZTS,2492,2013-02-01,2022-12-22,247.4544707326916,26.497252919335004,145.02999877929688
